host,yr,home,post,po,flow,hoststr,homestr,pit,gdphost,gdphome,ppphost05,ppphome05,ppphost,ppphome,pophost,pophome,plwohost,plwohome,emphost,emphome,eduhost,eduhome,open,Region,Region2,eu,as,af,y93,y94,y95,y96,y97,y98,y99,y00,y01,y02,y03,y04,y05,y06,y07,y08,y09,y10,home1,us,uk,fr,ge,lnpost,lnpo,lnhoststr,lnhomestr,lngdphost,lngdphome,lnppphost05,lnppphome05,lnppphost,lnppphome,lnpophost,lnpophome,lnplwohost,lnplwohome,lnemphost,lnemphome,lneduhost,lneduhome,lnopen,host1,hosttax,hometax,totaltax,totalgdp,wastr,lnwastr,oecd,lnpit,id,_est_fixed,oecdhost,t_2,t,aftertax,lnaftertax,am_str,eu_str,as_str,af_str,us_str,uk_str,fr_str,ge_str,oecd_str,llnwastr,am_llnwastr,eu_llnwastr,as_llnwastr,af_llnwastr,us_llnwastr,uk_llnwastr,fr_llnwastr,ge_llnwastr,oecd_llnwastr,avg_str,lnavg_str
EGYPT,1993,U.S,1510,1334,-32,42,40,65,4.66E+10,6.58E+12,2.00E+11,8.45E+12,1.56E+11,6.58E+12,,259918.59,,169920.14,,122910.1,,,26.788121,3,Africa,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.319865,7.195937,3.73767,3.688879,24.56441,29.5155,26.021,29.76496,25.77154,29.5155,,12.46812,,12.04308,,11.71921,,,3.287959,EGYPT,1.96E+12,2.63E+14,5.95E+14,1.33E+13,44.81571,3.802559,0,4.174387,48,0,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,,,,,,,,,,,36.79,3.605226
EGYPT,1994,U.S,1090,1510,46,42,40,32,5.19E+10,6.99E+12,2.08E+11,8.80E+12,1.65E+11,6.99E+12,,263125.82,,171992.19,,126273.64,,,26.560353,3,Africa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,6.993933,7.319865,3.73767,3.688879,24.67255,29.57597,26.05997,29.80528,25.83065,29.57597,,12.48039,,12.0552,,11.74621,,,3.27942,EGYPT,2.18E+12,2.80E+14,6.35E+14,1.46E+13,43.63427,3.775843,0,3.465736,48,0,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.802559,0,0,0,3.802559,3.802559,0,0,0,0,35.85,3.579344
EGYPT,1995,U.S,1093,1090,-1,42,40,32,6.02E+10,7.34E+12,2.18E+11,9.02E+12,1.77E+11,7.34E+12,,266278.39,,174237.36,,128964.13,5.064,12.635,24.075759,3,Africa,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,6.996682,6.993933,3.73767,3.688879,24.82026,29.62414,26.10534,29.83045,25.89903,29.62414,,12.4923,,12.06817,,11.76729,1.622157,2.536471,3.181206,EGYPT,2.53E+12,2.94E+14,7.24E+14,1.64E+13,44.13864,3.787336,0,3.465736,48,0,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.775843,0,0,0,3.775843,3.775843,0,0,0,0,35.69,3.574871
EGYPT,1996,U.S,1366,1093,118,42,40,32,6.76E+10,7.75E+12,2.28E+11,9.36E+12,1.89E+11,7.75E+12,59757.823,269394.28,34505.36,176547.32,15357.48,131049.41,,,22.350991,3,Africa,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.219642,6.996682,3.73767,3.688879,24.93731,29.67886,26.15403,29.86762,25.96527,29.67886,10.99806,12.50393,10.44887,12.08134,9.639358,11.78333,,,3.106871,EGYPT,2.84E+12,3.10E+14,7.07E+14,1.62E+13,43.69963,3.77734,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.787336,0,0,0,3.787336,3.787336,0,0,0,0,35.94,3.581851
EGYPT,1997,U.S,1603,1366,259,42,40,32,7.84E+10,8.26E+12,2.41E+11,9.78E+12,2.03E+11,8.26E+12,61071.908,272646.92,35669.214,179157.96,15814.165,134115.38,,,20.530272,3,Africa,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.379632,7.219642,3.73767,3.688879,25.08556,29.74202,26.20748,29.91169,26.03782,29.74202,11.01981,12.51593,10.48204,12.09602,9.668661,11.80646,,,3.0219,EGYPT,3.29E+12,3.30E+14,6.58E+14,1.57E+13,42.03275,3.738449,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.77734,0,0,0,3.77734,3.77734,0,0,0,0,34.02,3.526949
EGYPT,1998,U.S,1963,1603,575,42,40,32,8.48E+10,8.74E+12,2.51E+11,1.02E+13,2.14E+11,8.74E+12,62411.719,275854.1,36858.173,181754.51,16205.494,136748.16,,,20.31388,3,Africa,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.582229,7.379632,3.73767,3.688879,25.1639,29.79905,26.24705,29.95476,26.09134,29.79905,11.04151,12.52763,10.51483,12.11041,9.693106,11.8259,,,3.011304,EGYPT,3.56E+12,3.50E+14,6.43E+14,1.52E+13,42.36127,3.746234,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.738449,0,0,0,3.738449,3.738449,0,0,0,0,34.61,3.544143
EGYPT,1999,U.S,2210,1963,-190,42,40,32,9.07E+10,9.30E+12,2.66E+11,1.07E+13,2.31E+11,9.30E+12,63773.469,279040.17,38060.288,184286.96,17322.222,138899.77,,,20.177015,3,Africa,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.700748,7.582229,3.73767,3.688879,25.23094,29.86114,26.30632,30.0023,26.16516,29.86114,11.06309,12.53911,10.54693,12.12425,9.759746,11.84151,,,3.004544,EGYPT,3.81E+12,3.72E+14,6.44E+14,1.58E+13,40.74762,3.707397,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.746234,0,0,0,3.746234,3.746234,0,0,0,0,33.88,3.522825
EGYPT,2000,U.S,1998,2210,-99,42,40,32,9.98E+10,9.90E+12,2.80E+11,1.12E+13,2.49E+11,9.90E+12,65158.549,282162.41,39263.943,186813,17599.549,141117.31,5.91,12.706,19.581502,3,Africa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.599902,7.700748,3.73767,3.688879,25.32682,29.92344,26.35861,30.04319,26.23885,29.92344,11.08458,12.55024,10.57806,12.13786,9.775628,11.85735,1.776646,2.542074,2.974585,EGYPT,4.19E+12,3.96E+14,6.20E+14,1.62E+13,38.25942,3.64439,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.707397,0,0,0,3.707397,3.707397,0,0,0,0,33.53,3.51244
EGYPT,2001,U.S,2557,1998,578,42,40,32,9.76E+10,1.02E+13,2.90E+11,1.13E+13,2.63E+11,1.02E+13,66574.083,284968.96,40461.059,189228.41,17893.676,140997.74,,,20.524657,3,Africa,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.84659,7.599902,3.73767,3.688879,25.30447,29.95673,26.39335,30.05406,26.29601,29.95673,11.10607,12.56014,10.6081,12.15071,9.792203,11.8565,,,3.021627,EGYPT,4.10E+12,4.09E+14,5.63E+14,1.56E+13,36.13351,3.587221,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.64439,0,0,0,3.64439,3.64439,0,0,0,0,32.34,3.476305
EGYPT,2002,U.S,2682,2557,127,42,40,32,8.79E+10,1.06E+13,2.97E+11,1.15E+13,2.74E+11,1.06E+13,68023.124,287625.19,41646.39,191539.96,18072.108,140324.42,,,23.650873,3,Africa,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,U.S,1,0,0,0,7.894318,7.84659,3.73767,3.688879,25.1989,29.99095,26.41678,30.07218,26.33555,29.99095,11.1276,12.56941,10.63697,12.16285,9.802125,11.85171,,,3.1634,EGYPT,3.69E+12,4.24E+14,5.65E+14,1.59E+13,35.46691,3.5686,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.587221,0,0,0,3.587221,3.587221,0,0,0,0,31.44,3.448081
EGYPT,2003,U.S,3524,2682,470,42,40,32,8.29E+10,1.11E+13,3.06E+11,1.18E+13,2.89E+11,1.11E+13,69501.86,290107.93,42813.656,193615.75,18900.92,140900.28,,,25.456778,3,Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,U.S,1,0,0,0,8.167352,7.894318,3.73767,3.688879,25.14119,30.037,26.44821,30.09738,26.38783,30.037,11.14911,12.57801,10.66461,12.17363,9.846966,11.85581,,,3.236982,EGYPT,3.48E+12,4.44E+14,6.53E+14,1.83E+13,35.62599,3.573075,0,3.465736,48,1,0,1764,0.42,0.58,-0.5447271,0,0,0,3.73767,3.73767,0,0,0,0,3.5686,0,0,0,3.5686,3.5686,0,0,0,0,31.24,3.441699
EGYPT,2004,U.S,4526,3524,447,40,40,32,7.89E+10,1.18E+13,3.19E+11,1.22E+13,3.09E+11,1.18E+13,71009.467,292805.3,43960.962,195950.18,19736.119,142542.25,,,30.923385,3,Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,U.S,1,0,0,0,8.417594,8.167352,3.688879,3.688879,25.09075,30.09893,26.48832,30.13159,26.45566,30.09893,11.17057,12.58726,10.69106,12.18562,9.890205,11.86739,,,3.431513,EGYPT,3.15E+12,4.72E+14,7.35E+14,2.09E+13,35.12507,3.558915,0,3.465736,48,1,0,1600,0.4,0.6,-0.5108256,0,0,0,3.688879,3.688879,0,0,0,0,3.573075,0,0,0,3.573075,3.573075,0,0,0,0,31.07,3.436243
EGYPT,2005,U.S,5475,4526,1112,20,40,20,8.97E+10,1.26E+13,3.33E+11,1.26E+13,3.33E+11,1.26E+13,72543.509,295516.6,45087.385,198347.76,20485.534,145228.49,6.592,12.91,33.281997,3,Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,U.S,1,0,0,0,8.607947,8.417594,2.995732,3.688879,25.21958,30.16188,26.53206,30.16188,26.53206,30.16188,11.19194,12.59648,10.71636,12.19778,9.927474,11.88606,1.885857,2.558002,3.505017,EGYPT,1.79E+12,5.03E+14,7.66E+14,2.24E+13,34.11003,3.529592,0,2.995732,48,1,0,400,0.2,0.8,-0.2231435,0,0,0,2.995732,2.995732,0,0,0,0,3.558915,0,0,0,3.558915,3.558915,0,0,0,0,29.86,3.39652
EGYPT,2006,U.S,5564,5475,54,20,40,20,1.08E+11,1.33E+13,3.56E+11,1.29E+13,3.68E+11,1.33E+13,74100.591,298379.91,46195.84,200699.1,20704.428,147950.91,,,37.252416,3,Africa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,U.S,1,0,0,0,8.624073,8.607947,2.995732,3.688879,25.40061,30.21988,26.59826,30.18812,26.63001,30.21988,11.21318,12.60612,10.74065,12.20956,9.938103,11.90464,,,3.617717,EGYPT,2.15E+12,5.33E+14,8.05E+14,2.42E+13,33.30589,3.505734,0,2.995732,48,1,0,400,0.2,0.8,-0.2231435,0,0,0,2.995732,2.995732,0,0,0,0,3.529592,0,0,0,3.529592,3.529592,0,0,0,0,29.22,3.374853
